Census_OSArchitecture,Census_OSBranch,Census_OSBuildNumber,Census_OSBuildRevision,Census_OSEdition,Census_OSSkuName,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSUILocaleIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightingInternal,Census_IsFlightsDisabled,Census_FlightRing,Census_ThresholdOptIn,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsWIMBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,26,119,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,,628,36144,0,,0,0,0,0,0,10,0
amd64,rs4_release,17134,1,Professional,PROFESSIONAL,IBSClean,8,31,UNKNOWN,0,OFFLINE,Retail,,0,NOT_SET,,628,57858,0,,0,0,0,0,0,8,0
amd64,rs4_release,17134,165,Core,CORE,UUPUpgrade,7,30,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,142,52682,0,,0,0,0,0,0,3,0
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,UUPUpgrade,17,64,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,355,20050,0,,0,0,0,0,0,3,1
amd64,rs4_release,17134,191,Core,CORE,Update,8,31,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,355,19844,0,0,0,0,0,0,0,1,1
amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,18,72,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,93,51039,0,0,0,0,0,0,0,15,1
amd64,rs4_release,17134,165,Core,CORE,IBSClean,14,49,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,556,63175,1,,0,0,0,0,0,10,1
amd64,rs1_release,14393,0,Core,CORE,Upgrade,18,72,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,512,63122,0,0,0,0,0,0,0,15,0
amd64,rs4_release,17134,254,Professional,PROFESSIONAL,Update,27,120,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,500,15510,0,0,0,0,0,0,0,15,0
amd64,rs3_release_svc_escrow,16299,431,CoreSingleLanguage,CORE_SINGLELANGUAGE,Upgrade,8,31,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,0,556,63555,1,0,0,0,0,0,1,8,1
arm64,rs4_release,17134,167,Core,CORE,Other,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,845,50922,0,,0,1,1,1,0,1,0
amd64,rs4_release,17134,228,Core,CORE,Upgrade,27,120,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,628,15816,1,,0,0,0,0,0,15,1
amd64,rs4_release,17134,191,Professional,PROFESSIONAL,UUPUpgrade,6,28,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,486,51601,1,,0,0,0,0,1,3,0
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,UUPUpgrade,29,125,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,142,11081,0,,0,0,0,0,0,3,0
amd64,rs4_release,17134,191,Core,CORE,Clean,7,30,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,142,38347,0,,0,0,0,0,1,3,1
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,0,355,19951,1,0,0,0,0,0,0,1,1
amd64,th2_release,10586,164,Core,CORE,Update,6,28,FullAuto,0,IS_GENUINE,Retail,,,Retail,0,803,64575,0,0,0,0,0,0,0,3,0
amd64,rs4_release,17134,191,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,INVALID_LICENSE,Retail,,0,Unknown,,628,27266,0,,0,0,0,0,0,8,0
amd64,rs4_release,17134,285,Core,CORE,IBSClean,7,30,FullAuto,0,INVALID_LICENSE,Retail,,0,Retail,,152,45542,0,,0,0,0,0,1,1,0
amd64,rs3_release,16299,309,CoreSingleLanguage,CORE_SINGLELANGUAGE,UUPUpgrade,8,31,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,644,8919,1,,0,0,0,0,1,1,1
x86,rs1_release,14393,0,Core,CORE,IBSClean,8,31,UNKNOWN,0,INVALID_LICENSE,Retail,,0,Retail,,628,39482,0,,0,0,0,0,0,8,0
amd64,th1_st1,10240,17914,EnterpriseS,ENTERPRISE_S,IBSClean,37,158,UNKNOWN,0,IS_GENUINE,Volume:GVLK,0,0,NOT_SET,0,,,0,0,0,0,0,0,1,7,1
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,Update,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,486,48686,1,,0,0,0,0,0,11,0
amd64,rs4_release,17134,228,Core,CORE,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,142,12463,0,,0,0,0,0,1,2,0
x86,rs4_release,17134,137,Professional,PROFESSIONAL,UUPUpgrade,39,160,Notify,0,IS_GENUINE,Retail,,0,Retail,0,142,51032,0,0,0,0,0,0,0,7,0
x86,rs3_release,16299,125,Professional,PROFESSIONAL,Update,37,158,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,0,142,3120,0,0,0,0,0,0,0,7,0
amd64,rs4_release,17134,191,Professional,PROFESSIONAL,UUPUpgrade,29,125,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,93,40479,0,,0,1,0,0,0,3,1
amd64,rs4_release,17134,112,CoreSingleLanguage,CORE_SINGLELANGUAGE,IBSClean,29,125,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,142,70432,0,,0,0,0,0,0,3,0
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,Reset,14,49,FullAuto,0,IS_GENUINE,Volume:GVLK,,0,Retail,,93,2499,0,,0,0,0,0,0,11,1
amd64,rs3_release,16299,15,Professional,PROFESSIONAL,IBSClean,10,35,UNKNOWN,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,142,33968,0,,0,0,0,0,0,10,1
x86,rs1_release,14393,576,Professional,PROFESSIONAL,Update,7,30,Notify,0,IS_GENUINE,Retail,0,0,Retail,0,897,64640,0,0,0,0,0,0,1,12,0
amd64,rs4_release,17134,285,CoreSingleLanguage,CORE_SINGLELANGUAGE,Upgrade,35,148,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,142,33123,1,0,0,0,0,0,0,11,0
amd64,rs2_release,15063,1266,CoreSingleLanguage,CORE_SINGLELANGUAGE,Reset,9,34,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,628,13190,1,,0,0,0,0,1,10,1
amd64,rs4_release,17134,1,Core,CORE,UUPUpgrade,8,31,Notify,0,IS_GENUINE,Retail,,0,Unknown,,168,33357,0,,0,1,0,0,0,12,1
amd64,rs3_release_svc_escrow,16299,611,Core,CORE,Upgrade,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,93,17595,1,0,0,0,0,0,0,4,1
amd64,rs3_release_svc_escrow,16299,431,Professional,PROFESSIONAL,UUPUpgrade,7,30,Notify,0,INVALID_LICENSE,Retail,,0,Retail,,628,18648,0,,0,0,0,0,0,11,0
amd64,rs4_release,17134,228,Professional,PROFESSIONAL,IBSClean,20,83,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,142,34322,0,,0,0,0,0,1,1,1
amd64,rs4_release,17134,191,Core,CORE,Upgrade,25,115,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,0,556,63555,1,0,0,0,0,0,0,3,0
amd64,rs2_release,15063,850,Core,CORE,Upgrade,8,31,Notify,0,IS_GENUINE,Retail,,0,Retail,,556,56968,0,,0,0,0,0,1,3,1
amd64,rs3_release_svc_escrow,16299,431,CoreSingleLanguage,CORE_SINGLELANGUAGE,Upgrade,9,34,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,0,628,8787,1,0,0,0,0,0,0,10,0
amd64,rs4_release,17134,112,Professional,PROFESSIONAL,UUPUpgrade,37,158,UNKNOWN,0,INVALID_LICENSE,Retail,,0,Unknown,,628,49989,1,,0,0,0,0,1,7,0
amd64,th2_release,10586,545,CoreSingleLanguage,CORE_SINGLELANGUAGE,Update,29,125,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,556,64575,0,0,0,0,0,0,0,3,1
amd64,rs2_release,15063,1206,Core,CORE,Update,8,31,AutoInstallAndRebootAtMaintenanceTime,0,IS_GENUINE,Retail,0,0,Retail,0,355,20317,0,0,0,0,0,0,0,13,1
amd64,rs4_release,17134,165,Professional,PROFESSIONAL,UUPUpgrade,7,30,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,500,15478,0,,0,0,0,0,0,3,1
amd64,rs4_release,17134,191,Core,CORE,IBSClean,39,160,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,142,42172,1,,0,0,0,0,1,7,1
amd64,rs2_release,15063,1206,Professional,PROFESSIONAL,IBSClean,35,148,UNKNOWN,0,INVALID_LICENSE,Retail,,0,Retail,,556,7145,1,,0,0,0,0,1,11,1
amd64,rs3_release,16299,15,Core,CORE,Other,39,160,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,142,69714,1,,0,0,0,0,0,7,0
amd64,th2_release,10586,545,Core,CORE,Upgrade,8,31,FullAuto,0,IS_GENUINE,Retail,0,0,Retail,0,554,33075,1,0,0,1,0,0,0,1,1
amd64,rs4_release,17134,165,Core,CORE,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,554,33133,1,,0,0,0,0,0,11,1
amd64,th2_release,10586,14,Professional,PROFESSIONAL,Update,,31,FullAuto,0,IS_GENUINE,Retail,,,Retail,0,500,42630,0,0,0,0,0,0,0,11,0
