class_name,width,height,bbox_x,bbox_y,bbox_w,bbox_h,bbox_size,occlusion,truncation,crowding,length,x,y,z,yaw,object_amount,brightness,rms_contrast,mean_red_relative_intensity,mean_blue_relative_intensity,mean_green_relative_intensity
car,1.8,1.57611195,1758.838038,508.2917025,161.1619623,110.5664872,17819.11204,1,1,0,4.1516821,4.11989515,-19.78493919,0.618097838,-2.329082038,16,153.5759583,9.517481804,0.343417883,0.343417883,0.338353723
car,1.8,2.156347028,1759.166709,435.1999615,76.23754898,92.67451587,7065.277942,0,0,0,5.086034156,-24.66435415,-4.464506823,0.92637244,0.01135566,8,153.5415649,10.06553936,0.34614405,0.34614405,0.339955807
car,1.884435185,1.6,23.73117034,567.7968428,29.66396292,35.57995882,1055.442579,0,0,0,4.2,60.55432217,0.759587256,0.747865952,0.044048624,5,150.7142792,11.44647408,0.348764986,0.348764986,0.337820441
rider,0.960093044,1.639146344,1902.81958,448.3272683,17.18042001,65.49231144,1125.185418,0,1,1,1.690173642,-26.20757695,-1.074433098,0.773678363,-0.046113676,1,148.2457733,10.35059261,0.351435006,0.351435006,0.340060443
car,1.8,1.6,8.186874305,575.7863501,12.81423804,17.09198813,219.0208045,0,0,0,4.2,119.9519538,5.733375792,0.62290049,0.076888755,2,156.1753235,9.3916502,0.349232286,0.349232286,0.338391632
car,1.8,1.6,387.3154072,559.6316405,86.31622951,42.89477531,3702.515271,1,0,0,4.2,53.20385122,-19.14803516,0.543013771,0.267432337,11,153.4600983,11.46573257,0.345023125,0.345023125,0.34052065
car,1.8,1.456303691,1124.024832,458,74.97516762,53.27861932,3994.573414,0,0,1,4.2,-24.7392337,-22.38743875,0.637381708,0.477745366,16,157.3149872,10.48008919,0.350803047,0.350803047,0.340680718
truck,1.803016664,1.978167497,13.32265813,539.7437114,42.53002402,68.6853346,2921.18893,0,0,0,5.341161081,40.89995363,0.308278943,0.943879118,2.22E-16,5,147.8531189,10.88097572,0.356010348,0.356010348,0.337892264
car,1920,1080,10.8101345,563.713174,45.64279012,52.82934964,2411.278918,0,0,1,,,,,,6,146.0289459,11.60475445,0.350619644,0.350619644,0.339589864
tricycle,1.207894737,1.4875,596.7692686,506.431629,140.9060165,78.4530321,11054.50424,1,0,0,2.7015625,15.19464001,17.84155076,0.66620465,-0.006017395,8,153.1926422,10.11201096,0.349026501,0.349026501,0.339887828
truck,3.02088579,3.578197192,1514.055857,558.8322981,122.0306436,60.42857143,7374.137463,1,0,1,17.06955423,25.72095227,-69.85574761,-0.211305605,-0.853395253,3,147.8201599,9.813101768,0.351034671,0.351034671,0.33809945
car,1.8,1.485850178,30.51195971,567.4029851,42.48804029,51.58208955,2191.621899,0,0,0,4.2,39.1675412,-0.39156241,0.450955148,2.22E-16,4,144.2867279,10.5055666,0.351581991,0.351581991,0.337949574
car,1.8,1.6,1094.228042,572.3526922,82.22804248,44.64730783,3671.260725,0,0,2,4.009260166,-26.6983295,39.28659174,0.054604281,-1.497143174,24,151.0561829,13.14081478,0.343534976,0.343534976,0.339558482
truck,2.81454764,3.492965698,1627.749726,465.1659076,100.4610318,106.1027977,10659.19653,0,0,0,12.77212483,50.09623741,8.528205652,1.534666495,-3.130025948,11,152.5401459,11.06549454,0.347469181,0.347469181,0.339095324
truck,1920,1080,1803.416478,523.0645161,18.86621315,30,565.9863946,0,0,0,,,,,,5,156.4804077,8.930218697,0.342799157,0.342799157,0.340387583
bus,2.770779741,3.288219642,1703.075302,503.4589342,41.04068386,51.66583072,2120.401025,0,0,0,9.473038407,84.51756419,10.64968194,1.313061345,3.104724122,2,154.7241211,10.22007656,0.345070332,0.345070332,0.339980513
